Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
4/3/2025,5:00:00 PM,145.477,145.905,145.18,145.434,8154,0,2
4/3/2025,6:00:00 PM,145.423,146.244,145.355,146.037,9361,0,4
4/3/2025,7:00:00 PM,146.035,146.423,146.005,146.145,9166,0,13
4/3/2025,8:00:00 PM,146.149,146.266,146.001,146.08,8621,0,13
4/3/2025,9:00:00 PM,146.08,146.474,145.959,146.412,7844,0,13
4/3/2025,10:00:00 PM,146.415,146.51,146.205,146.24,8279,0,13
4/3/2025,11:00:00 PM,146.239,146.3,146.006,146.032,3497,0,13
4/4/2025,12:00:00 AM,146.021,146.038,145.895,145.92,305,0,36
4/4/2025,1:00:00 AM,145.909,146.008,145.536,145.625,4379,0,13
4/4/2025,2:00:00 AM,145.625,146.256,145.614,146.248,5316,0,13
4/4/2025,3:00:00 AM,146.249,146.399,145.814,145.957,7756,0,13
4/4/2025,4:00:00 AM,145.955,146.395,145.881,146.069,6905,0,13
4/4/2025,5:00:00 AM,146.059,146.284,145.986,146.115,5178,0,13
4/4/2025,6:00:00 AM,146.114,146.17,145.616,145.658,5077,0,13
4/4/2025,7:00:00 AM,145.658,145.786,145.354,145.417,5221,0,13
4/4/2025,8:00:00 AM,145.417,145.885,145.293,145.85,5820,0,13
4/4/2025,9:00:00 AM,145.842,146.151,145.767,146.028,7880,0,13
4/4/2025,10:00:00 AM,146.029,146.293,145.787,146.265,9110,0,13
4/4/2025,11:00:00 AM,146.267,146.481,146.142,146.404,8224,0,13
4/4/2025,12:00:00 PM,146.412,146.537,146.266,146.319,7580,0,13
4/4/2025,1:00:00 PM,146.328,146.363,145.028,145.103,10918,0,13
4/4/2025,2:00:00 PM,145.1,145.457,144.542,145.394,10885,0,13
4/4/2025,3:00:00 PM,145.371,145.637,145.017,145.594,10962,0,13
4/4/2025,4:00:00 PM,145.596,145.786,145.168,145.706,10877,0,13
4/4/2025,5:00:00 PM,145.703,145.868,145.037,145.517,10089,0,13
4/4/2025,6:00:00 PM,145.501,146.213,145.492,145.916,10972,0,13
4/4/2025,7:00:00 PM,145.92,146.773,145.848,146.709,10411,0,13
4/4/2025,8:00:00 PM,146.713,147.356,146.523,147.239,9888,0,13
4/4/2025,9:00:00 PM,147.253,147.424,146.638,146.883,9728,0,13
4/4/2025,10:00:00 PM,146.89,147.28,146.666,146.821,10418,0,13
4/4/2025,11:00:00 PM,146.828,146.998,146.759,146.945,6099,0,13
4/7/2025,12:00:00 AM,145.44,145.635,145.297,145.574,639,0,14
4/7/2025,1:00:00 AM,145.561,145.679,144.991,145.153,8540,0,13
4/7/2025,2:00:00 AM,145.157,145.429,144.811,145.428,9943,0,13
4/7/2025,3:00:00 AM,145.431,145.838,145.174,145.811,10772,0,13
4/7/2025,4:00:00 AM,145.815,146.333,145.776,146.18,10265,0,13
4/7/2025,5:00:00 AM,146.18,146.844,146.096,146.616,8974,0,13
4/7/2025,6:00:00 AM,146.615,146.619,146.191,146.281,7963,0,13
4/7/2025,7:00:00 AM,146.281,146.461,145.801,145.871,7506,0,13
4/7/2025,8:00:00 AM,145.871,146.242,145.684,145.736,8802,0,13
4/7/2025,9:00:00 AM,145.734,145.933,145.108,145.376,9819,0,13
4/7/2025,10:00:00 AM,145.378,145.798,145.067,145.782,11040,0,13
4/7/2025,11:00:00 AM,145.784,146.362,145.694,146.21,9641,0,13
4/7/2025,12:00:00 PM,146.21,146.332,145.814,146.018,8591,0,13
4/7/2025,1:00:00 PM,146.014,146.615,146.008,146.225,9176,0,13
4/7/2025,2:00:00 PM,146.223,146.488,146.129,146.371,9698,0,13
4/7/2025,3:00:00 PM,146.376,147.039,146.375,146.974,10632,0,13
4/7/2025,4:00:00 PM,146.974,147.084,146.503,147.046,10252,0,13
4/7/2025,5:00:00 PM,147.045,147.974,146.914,147.558,11821,0,13
4/7/2025,6:00:00 PM,147.563,147.964,147.134,147.956,11277,0,13
4/7/2025,7:00:00 PM,147.954,148.099,147.801,147.933,9998,0,13
4/7/2025,8:00:00 PM,147.93,148.14,147.692,147.932,10118,0,13
4/7/2025,9:00:00 PM,147.933,148.115,147.734,147.85,9612,0,13
4/7/2025,10:00:00 PM,147.86,148.005,147.521,147.929,9450,0,13
4/7/2025,11:00:00 PM,147.932,148.133,147.76,147.799,5283,0,4
4/8/2025,12:00:00 AM,147.796,147.891,147.638,147.697,404,0,34
4/8/2025,1:00:00 AM,147.69,148.108,147.69,147.881,3871,0,13
4/8/2025,2:00:00 AM,147.886,148.111,147.726,147.785,5774,0,13
4/8/2025,3:00:00 AM,147.771,147.956,147.495,147.608,9261,0,13
4/8/2025,4:00:00 AM,147.597,147.699,147.396,147.54,9183,0,13
4/8/2025,5:00:00 AM,147.535,147.542,147.243,147.313,6260,0,13
4/8/2025,6:00:00 AM,147.313,147.619,147.258,147.586,5905,0,13
4/8/2025,7:00:00 AM,147.587,147.761,147.443,147.755,5770,0,13
4/8/2025,8:00:00 AM,147.755,147.79,147.572,147.593,6253,0,13
4/8/2025,9:00:00 AM,147.589,147.597,147.222,147.235,7568,0,13
4/8/2025,10:00:00 AM,147.222,147.402,146.959,147.385,8996,0,13
4/8/2025,11:00:00 AM,147.386,147.476,147.011,147.418,7869,0,13
4/8/2025,12:00:00 PM,147.419,147.51,147.101,147.178,7355,0,13
4/8/2025,1:00:00 PM,147.179,147.264,146.85,146.862,6779,0,13
4/8/2025,2:00:00 PM,146.873,147.173,146.764,146.898,8978,0,13
4/8/2025,3:00:00 PM,146.897,146.96,146.665,146.817,9340,0,13
4/8/2025,4:00:00 PM,146.816,147.398,146.656,147.348,9925,0,13
4/8/2025,5:00:00 PM,147.35,147.66,147.214,147.329,9765,0,13
4/8/2025,6:00:00 PM,147.329,147.38,146.791,147.012,9510,0,13
4/8/2025,7:00:00 PM,147.015,147.09,146.489,146.52,9893,0,13
4/8/2025,8:00:00 PM,146.543,146.661,146.242,146.64,10608,0,13
4/8/2025,9:00:00 PM,146.643,146.727,146.25,146.379,10269,0,13
4/8/2025,10:00:00 PM,146.381,146.436,145.956,146.274,10036,0,13
4/8/2025,11:00:00 PM,146.275,146.468,146.198,146.206,5904,0,13
4/9/2025,12:00:00 AM,146.205,146.28,146.04,146.22,747,0,41
4/9/2025,1:00:00 AM,146.22,146.338,145.892,145.975,3995,0,13
4/9/2025,2:00:00 AM,145.966,145.994,145.59,145.842,6780,0,13
4/9/2025,3:00:00 AM,145.845,145.899,145.123,145.401,10063,0,13
4/9/2025,4:00:00 AM,145.4,145.706,145.291,145.566,10190,0,13
4/9/2025,5:00:00 AM,145.561,145.934,145.413,145.629,9114,0,13
4/9/2025,6:00:00 AM,145.633,145.765,145.253,145.32,8815,0,13
4/9/2025,7:00:00 AM,145.32,145.403,144.571,144.935,10315,0,13
4/9/2025,8:00:00 AM,144.935,145.451,144.84,145.098,10106,0,13
4/9/2025,9:00:00 AM,145.099,145.538,144.696,144.81,10337,0,13
4/9/2025,10:00:00 AM,144.809,145.623,144.788,145.519,10482,0,13
4/9/2025,11:00:00 AM,145.524,145.772,145.171,145.287,8537,0,13
4/9/2025,12:00:00 PM,145.289,145.479,145.155,145.364,6875,0,13
4/9/2025,1:00:00 PM,145.364,145.436,144.931,145.234,6858,0,13
4/9/2025,2:00:00 PM,145.23,145.23,144.64,144.643,9929,0,13
4/9/2025,3:00:00 PM,144.629,144.647,143.985,144.314,10001,0,13
4/9/2025,4:00:00 PM,144.31,145.074,144.212,144.906,11051,0,13
4/9/2025,5:00:00 PM,144.906,145.081,144.527,144.714,10375,0,13
4/9/2025,6:00:00 PM,144.726,145.09,144.724,145.087,8986,0,13
4/9/2025,7:00:00 PM,145.088,145.197,144.874,144.919,7100,0,13
4/9/2025,8:00:00 PM,144.912,147.25,144.576,147.065,11042,0,13
4/9/2025,9:00:00 PM,147.066,148.267,147.037,147.429,11000,0,7
4/9/2025,10:00:00 PM,147.434,148.138,147.284,147.938,9884,0,13
4/9/2025,11:00:00 PM,147.941,148.009,147.653,147.681,5986,0,13
4/10/2025,12:00:00 AM,147.505,147.76,147.241,147.34,1040,0,27
4/10/2025,1:00:00 AM,147.347,147.533,147.255,147.402,5422,0,13
4/10/2025,2:00:00 AM,147.397,147.704,147.36,147.395,6610,0,13
4/10/2025,3:00:00 AM,147.385,147.451,146.674,146.718,9343,0,13
4/10/2025,4:00:00 AM,146.719,147.027,146.646,146.94,8613,0,13
4/10/2025,5:00:00 AM,146.94,146.975,146.639,146.737,7490,0,13
4/10/2025,6:00:00 AM,146.738,146.849,146.601,146.822,7298,0,13
4/10/2025,7:00:00 AM,146.822,146.885,146.493,146.612,6143,0,13
4/10/2025,8:00:00 AM,146.612,146.735,146.442,146.598,6407,0,13
4/10/2025,9:00:00 AM,146.598,147.138,146.598,147.042,8554,0,13
4/10/2025,10:00:00 AM,147.047,147.052,146.232,146.262,9349,0,13
4/10/2025,11:00:00 AM,146.264,146.42,146.148,146.301,8721,0,13
4/10/2025,12:00:00 PM,146.301,146.327,145.989,146,7651,0,13
4/10/2025,1:00:00 PM,146.005,146.027,145.543,145.548,7584,0,13
4/10/2025,2:00:00 PM,145.549,145.637,145.328,145.52,8037,0,13
4/10/2025,3:00:00 PM,145.532,145.59,144.871,145.443,9437,0,13
4/10/2025,4:00:00 PM,145.438,145.531,144.773,144.803,9357,0,13
4/10/2025,5:00:00 PM,144.801,145.047,144.555,144.657,9652,0,13
4/10/2025,6:00:00 PM,144.655,144.738,144.008,144.342,9509,0,13
4/10/2025,7:00:00 PM,144.338,144.533,144.056,144.525,10615,0,13
